LOC,tdens,dbh_mean,sp
1,600,18.5501851851852,mixed
2,522.222222222222,19.8021276595745,mixed
3,933.333333333333,17.063869047619,mixed
8,477.777777777778,27.0697674418605,mixed
9,855.555555555556,20.0538961038961,mixed
10,422.222222222222,22.7184210526316,mixed
12,900,21.9088888888889,mixed
13,644.444444444445,25.2273275862069,mixed
1,300,30.25,avi
2,311.111111111111,28.5160714285714,avi
3,611.111111111111,20.7557272727273,avi
8,477.777777777778,27.0697674418605,avi
9,522.222222222222,29.4851063829787,avi
10,411.111111111111,23.1351351351351,avi
12,900,21.9088888888889,avi
13,644.444444444445,25.2273275862069,avi
