S1,S2,p.value,signif,key
OBS,RO.0.GR.2.RE.0,0.19473763599208,ns,gs
OBS,RO.0.GR.2.RE.1,0.35806869954649,ns,gs
OBS,RO.0.GR.2.RE.2,0.278854781628199,ns,gs
OBS,RO.0.GR.3.RE.0,0.486065104714748,ns,gs
OBS,RO.0.GR.3.RE.1,0.411778624218075,ns,gs
OBS,RO.0.GR.3.RE.2,0.218344053982905,ns,gs
OBS,RO.1.GR.0.RE.0,0.133948885081874,ns,gs
OBS,RO.1.GR.0.RE.1,0.0625482975569793,ns,gs
OBS,RO.1.GR.0.RE.2,0.0515615488041022,ns,gs
OBS,RO.1.GR.1.RE.0,0.0607838137115259,ns,gs
OBS,RO.1.GR.1.RE.2,0.082585069487387,ns,gs
OBS,RO.0.GR.0.RE.0,0.479975632353923,ns,dist_mean
OBS,RO.0.GR.0.RE.1,0.496257239423077,ns,dist_mean
OBS,RO.0.GR.0.RE.2,0.29387590096283,ns,dist_mean
OBS,RO.0.GR.1.RE.0,0.458398172285978,ns,dist_mean
OBS,RO.0.GR.1.RE.1,0.443835409261569,ns,dist_mean
OBS,RO.0.GR.1.RE.2,0.280088940416127,ns,dist_mean
OBS,RO.0.GR.2.RE.0,0.0689292556263131,ns,dist_mean
OBS,RO.0.GR.2.RE.1,0.209765381272813,ns,dist_mean
OBS,RO.0.GR.3.RE.0,0.149985344240117,ns,dist_mean
OBS,RO.0.GR.3.RE.1,0.131359399540599,ns,dist_mean
OBS,RO.0.GR.3.RE.2,0.19868836589942,ns,dist_mean
OBS,RO.1.GR.0.RE.0,0.0669877731390702,ns,dist_mean
OBS,RO.1.GR.0.RE.1,0.117616521045674,ns,dist_mean
OBS,RO.1.GR.1.RE.0,0.208669005508121,ns,dist_mean
OBS,RO.1.GR.1.RE.1,0.0883561178839769,ns,dist_mean
OBS,RO.0.GR.2.RE.0,0.178428018493997,ns,nlinks
OBS,RO.0.GR.2.RE.1,0.376911107227131,ns,nlinks
OBS,RO.0.GR.2.RE.2,0.278547690550405,ns,nlinks
OBS,RO.0.GR.3.RE.0,0.476107795268417,ns,nlinks
OBS,RO.0.GR.3.RE.1,0.41242642886544,ns,nlinks
OBS,RO.0.GR.3.RE.2,0.232472054827849,ns,nlinks
OBS,RO.1.GR.0.RE.0,0.135404784828812,ns,nlinks
OBS,RO.1.GR.0.RE.1,0.0807209632362374,ns,nlinks
OBS,RO.1.GR.0.RE.2,0.0601859407725886,ns,nlinks
OBS,RO.1.GR.1.RE.0,0.0588834710887008,ns,nlinks
OBS,RO.1.GR.1.RE.1,0.0502247543223599,ns,nlinks
OBS,RO.1.GR.1.RE.2,0.0819686109416941,ns,nlinks
