S1,S2,p.value,signif,key
OBS,RO.0.GR.2.RE.0,0.305461196536634,ns,fgraft
OBS,RO.0.GR.2.RE.1,0.224632777130963,ns,fgraft
OBS,RO.0.GR.2.RE.2,0.406842355521947,ns,fgraft
OBS,RO.0.GR.3.RE.0,0.360214247949231,ns,fgraft
OBS,RO.0.GR.3.RE.1,0.370785119659051,ns,fgraft
OBS,RO.0.GR.3.RE.2,0.46455085935618,ns,fgraft
OBS,RO.1.GR.0.RE.0,0.336068173574919,ns,fgraft
OBS,RO.1.GR.0.RE.1,0.255225073862023,ns,fgraft
OBS,RO.1.GR.0.RE.2,0.280149281452196,ns,fgraft
OBS,RO.1.GR.1.RE.0,0.26221684447834,ns,fgraft
OBS,RO.1.GR.1.RE.1,0.245912310368113,ns,fgraft
OBS,RO.1.GR.1.RE.2,0.142642086769041,ns,fgraft
OBS,RO.0.GR.0.RE.0,0.304941273531483,ns,gdens
OBS,RO.0.GR.0.RE.1,0.497911280479136,ns,gdens
OBS,RO.0.GR.0.RE.2,0.333053413472187,ns,gdens
OBS,RO.0.GR.1.RE.0,0.363573220299566,ns,gdens
OBS,RO.0.GR.1.RE.1,0.359415820619399,ns,gdens
OBS,RO.0.GR.1.RE.2,0.434182044502971,ns,gdens
OBS,RO.1.GR.2.RE.1,0.12684687251077,ns,gdens
OBS,RO.1.GR.2.RE.2,0.067085331315057,ns,gdens
OBS,RO.1.GR.3.RE.0,0.06705658055977,ns,gdens
OBS,RO.1.GR.3.RE.2,0.113847421439249,ns,gdens
OBS,RO.2.GR.0.RE.0,0.0669432292186858,ns,gdens
OBS,RO.2.GR.0.RE.1,0.102965854641353,ns,gdens
OBS,RO.2.GR.0.RE.2,0.141012068553169,ns,gdens
OBS,RO.2.GR.1.RE.0,0.0585110290589529,ns,gdens
OBS,RO.2.GR.1.RE.1,0.199366726242314,ns,gdens
OBS,RO.2.GR.1.RE.2,0.204383568476529,ns,gdens
OBS,RO.2.GR.2.RE.0,0.257605626267641,ns,gdens
OBS,RO.2.GR.2.RE.1,0.356964870129739,ns,gdens
OBS,RO.2.GR.2.RE.2,0.168053922642841,ns,gdens
OBS,RO.2.GR.3.RE.0,0.279936119706944,ns,gdens
OBS,RO.2.GR.3.RE.1,0.207879538453778,ns,gdens
OBS,RO.2.GR.3.RE.2,0.15186084294205,ns,gdens
OBS,RO.0.GR.2.RE.0,0.494199821719704,ns,gsm
OBS,RO.0.GR.2.RE.1,0.232132684219784,ns,gsm
OBS,RO.0.GR.2.RE.2,0.190680948921198,ns,gsm
OBS,RO.0.GR.3.RE.0,0.376908776902731,ns,gsm
OBS,RO.0.GR.3.RE.1,0.238744282437531,ns,gsm
OBS,RO.0.GR.3.RE.2,0.133130643260162,ns,gsm
OBS,RO.1.GR.0.RE.0,0.137861945086079,ns,gsm
OBS,RO.1.GR.0.RE.1,0.055360274758799,ns,gsm
OBS,RO.1.GR.0.RE.2,0.0519256994405305,ns,gsm
OBS,RO.1.GR.1.RE.0,0.071723261648862,ns,gsm
OBS,RO.1.GR.1.RE.2,0.0641142114083918,ns,gsm
OBS,RO.0.GR.2.RE.0,0.344799191871248,ns,gsx
OBS,RO.0.GR.2.RE.1,0.44916484439668,ns,gsx
OBS,RO.0.GR.2.RE.2,0.437892097868351,ns,gsx
OBS,RO.0.GR.3.RE.0,0.38089305456737,ns,gsx
OBS,RO.0.GR.3.RE.1,0.401984976944058,ns,gsx
OBS,RO.0.GR.3.RE.2,0.246920000329264,ns,gsx
OBS,RO.1.GR.0.RE.0,0.323095334730886,ns,gsx
OBS,RO.1.GR.0.RE.1,0.210040307738704,ns,gsx
OBS,RO.1.GR.0.RE.2,0.178636283622321,ns,gsx
OBS,RO.1.GR.1.RE.0,0.20062177034522,ns,gsx
OBS,RO.1.GR.1.RE.1,0.118487013088327,ns,gsx
OBS,RO.1.GR.1.RE.2,0.188440514152006,ns,gsx
OBS,RO.0.GR.2.RE.0,0.191811449068521,ns,fred
OBS,RO.0.GR.2.RE.1,0.372054283022182,ns,fred
OBS,RO.0.GR.2.RE.2,0.492310998849709,ns,fred
OBS,RO.0.GR.3.RE.0,0.325778538888032,ns,fred
OBS,RO.0.GR.3.RE.1,0.488314275949132,ns,fred
OBS,RO.0.GR.3.RE.2,0.378505866231509,ns,fred
OBS,RO.1.GR.0.RE.0,0.405231848606036,ns,fred
OBS,RO.1.GR.0.RE.1,0.320318665288449,ns,fred
OBS,RO.1.GR.0.RE.2,0.45891968289597,ns,fred
OBS,RO.1.GR.1.RE.0,0.217854595533398,ns,fred
OBS,RO.1.GR.1.RE.1,0.354648332069402,ns,fred
OBS,RO.1.GR.1.RE.2,0.259548821063012,ns,fred
OBS,RO.1.GR.2.RE.0,0.0962222883695063,ns,fred
OBS,RO.1.GR.2.RE.1,0.0796687404454477,ns,fred
OBS,RO.1.GR.3.RE.0,0.0538885978452248,ns,fred
OBS,RO.1.GR.3.RE.1,0.0832170237016464,ns,fred
OBS,RO.2.GR.0.RE.1,0.0548275076899385,ns,fred
OBS,RO.2.GR.0.RE.2,0.0724438513456319,ns,fred
OBS,RO.2.GR.1.RE.0,0.145656129555761,ns,fred
