setup,year,groupSize,noLinks,groupID,dist_mean,dist_max,shape,gIDpy,SEED,ROOTING,RESOURCES,GRAFTING
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333,2,1,gID_3,3.49378823146493,3.49378823146493,1,gID_32,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333,2,1,gID_4,3.0735984363594,3.0735984363594,1,gID_37,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333,3,3,gID_5,1.35957363087949,1.55418916062675,1.5,gID_41,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333,5,5,gID_1,5.53091954994928,6.41229710097119,1.25,gID_8,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333,5,5,gID_6,1.51973368820257,1.984629380757,1.25,gID_48,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333,28,42,gID_2,4.38764988044304,6.79780738742169,1.55555555555556,gID_39,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,2,1,gID_5,4.25222350942504,4.25222350942504,1,gID_28,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,3,2,gID_2,5.80809852427881,6.74109515510418,1,gID_6,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,3,2,gID_6,1.15877166450404,1.27425148379117,1,gID_35,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,3,2,gID_7,1.17325238948635,1.35410656814827,1,gID_39,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,4,3,gID_3,4.28467966520331,4.73603877856415,1,gID_8,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,5,4,gID_4,4.05720862894327,5.78405123278081,1,gID_18,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333,18,19,gID_1,4.74133965034168,8.33959596906181,1.11764705882353,gID_16,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,2,1,gID_2,4.62421198558085,4.62421198558085,1,gID_5,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,2,1,gID_4,5.70880133673689,5.70880133673689,1,gID_19,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,2,1,gID_5,3.23901033095168,3.23901033095168,1,gID_23,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,2,1,gID_6,2.08820041317557,2.08820041317557,1,gID_26,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,2,1,gID_8,0.857554458816052,0.857554458816052,1,gID_43,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,3,2,gID_7,2.3763293346521,2.96622756780827,1,gID_33,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,5,4,gID_9,1.22675649587942,1.60811545330498,1,gID_42,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,7,6,gID_1,5.08377916915719,5.97750459372902,1,gID_3,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333,13,15,gID_3,5.22305157479064,7.88279779994126,1.25,gID_21,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,2,1,gID_1,6.0177442007053,6.0177442007053,1,gID_5,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,2,1,gID_10,1.35944146318932,1.35944146318932,1,gID_55,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,2,1,gID_13,1.15117301965477,1.15117301965477,1,gID_60,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,2,1,gID_15,0.69679159816927,0.69679159816927,1,gID_70,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,2,1,gID_4,4.76212646493377,4.76212646493377,1,gID_15,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,2,1,gID_8,1.38028640639895,1.38028640639895,1,gID_47,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,3,2,gID_12,0.835131053263655,0.880335693593226,1,gID_54,18782,0,0,0
setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333,3,2,gID_14,0.845300811992136,0.965363371501505,1,gID_73,18782,0,0,0
