k,p_k,SPE,ENV,GRAFT,SEED,setup,year
1,0.244444444444444,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333
2,0.311111111111111,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333
3,0.266666666666667,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333
4,0.0666666666666667,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333
5,0.0888888888888889,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333
7,0.0222222222222222,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,400.083333333333
1,0.447368421052632,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333
2,0.394736842105263,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333
3,0.131578947368421,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333
4,0.0263157894736842,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,450.083333333333
1,0.552631578947369,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333
2,0.315789473684211,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333
3,0.0526315789473684,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333
4,0.0526315789473684,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333
5,0.0263157894736842,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,500.083333333333
1,0.444444444444444,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333
2,0.407407407407407,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333
3,0.111111111111111,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333
5,0.037037037037037,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,550.083333333333
1,0.3125,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600
2,0.3125,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600
3,0.21875,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600
4,0.09375,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600
5,0.03125,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600
6,0.03125,0,0,0,18782,setup_ENV_0_GRAFT_0_SPE_0_SEED_18782,600
1,0.354166666666667,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333
2,0.416666666666667,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333
3,0.1875,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333
4,0.0416666666666667,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,400.083333333333
1,0.5,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333
2,0.382352941176471,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333
3,0.0882352941176471,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333
4,0.0294117647058824,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,450.083333333333
1,0.653846153846154,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333
2,0.307692307692308,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333
3,0.0384615384615385,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,500.083333333333
1,0.772727272727273,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333
2,0.181818181818182,1,0,0,18782,setup_ENV_0_GRAFT_0_SPE_1_SEED_18782,550.083333333333
