continuous,alpha,xmin,logLik,KS.stat,KS.p,SPE,ENV,GRAFT,gsm,gsx
FALSE,1.91080595624354,1,-6125.17489401135,0.253213238365434,0,0,0,0,17.6037027099544,55
FALSE,2.51913829984256,1,-2292.8220476716,0.109001510996201,4.13665491180741e-24,1,0,0,4.38684369342185,15
FALSE,3.08238807950946,1,-1064.68133146665,0.0457991686649392,0.00181310201437868,2,0,0,2.92502434274586,7
FALSE,1.90544436347166,1,-6010.17841518028,0.258117397095421,0,0,0,1,18.5649794801642,78
FALSE,2.61229040695188,1,-2071.18001674993,0.0938593750774873,1.37342498456984e-17,1,0,1,3.94757033248082,13
FALSE,3.11516415630015,1,-981.658003626042,0.0471802033500107,0.00177843920165859,2,0,1,2.75571725571726,6
FALSE,2.3222293137994,1,-3203.79940596449,0.161311378850052,0,0,0,2,4.8883632923368,15
FALSE,3.04767160018225,1,-1111.84522856528,0.0513753918841088,0.000254645293281478,1,0,2,2.88952380952381,7
FALSE,3.42327814071426,1,-545.238979540049,0.0336028745106424,0.167829447227352,2,0,2,2.56692913385827,6
FALSE,2.40248147114545,1,-2919.53137121311,0.140675564940605,0,0,0,3,4.50827897641746,13
FALSE,3.09192480614184,1,-1059.62837976324,0.0501097697838969,0.000446690728885951,1,0,3,2.8486328125,7
FALSE,3.6248264687574,1,-507.62583472177,0.0229723901783174,0.563580703250756,2,0,3,2.48948948948949,7
FALSE,1.89889195254764,1,-6206.1373181161,0.262372407295178,0,0,1,0,13.1301806588735,40
FALSE,2.54426984644948,1,-2193.28710741475,0.107430444421713,6.54257471925427e-23,1,1,0,3.87820112429731,11
FALSE,3.03231254579214,1,-1069.21900700602,0.0492787046431075,0.000784428695472514,2,1,0,2.95912263210369,7
FALSE,1.93285946568029,1,-5821.71433120834,0.25034163568462,0,0,1,1,16.6984171848502,57
FALSE,2.58876518172543,1,-2121.76666310382,0.0957878393739137,2.21606083199414e-18,1,1,1,3.71815889029004,10
FALSE,3.13327081801257,1,-925.543405660951,0.0461032108272271,0.00328831808133716,2,1,1,2.83296943231441,8
FALSE,2.43815906320858,1,-2787.93481249761,0.130050088894829,1.23345778298565e-38,0,1,2,4.44186046511628,17
FALSE,3.08372746368464,1,-1012.66054937576,0.0530387978296353,0.000260591742930267,1,1,2,2.79650565262076,7
FALSE,3.48213641874238,1,-549.619558663971,0.0272875828507406,0.357101027704636,2,1,2,2.625,8
FALSE,2.4586481293416,1,-2637.18811328754,0.130380050751808,2.06270427094092e-37,0,1,3,4.33893709327549,13
FALSE,3.08089873173088,1,-1100.97548961106,0.0484121574808688,0.000615703253595905,1,1,3,2.92823418319169,8
