ROOTING,GRAFTING,RESOURCES,plant,rgf_age_grafted
0,0,0,Initial17,50
0,0,0,Initial45,49.75
0,0,0,Initial21338,172.333333333333
0,0,0,Initial24364,97.0833333333333
0,0,0,Initial27431,171.5
0,0,0,Initial27495,21
0,0,0,Initial27571,20.3333333333333
0,0,0,Initial27730,19.0833333333333
0,0,0,Initial28459,13
0,0,0,Initial30634,44.8333333333333
0,0,0,Initial30711,44.1666666666667
0,0,0,Initial30722,44.0833333333333
0,0,0,Initial31121,40.75
0,0,0,Initial31123,40.75
0,0,0,Initial34043,16.4166666666667
0,0,0,Initial35162,57.0833333333333
0,0,0,Initial35842,51.4166666666667
0,0,0,Initial35912,50.8333333333333
0,0,0,Initial36193,48.5
0,0,0,Initial36198,48.5
0,0,0,Initial36199,48.5
0,0,0,Initial36209,48.4166666666667
0,0,0,Initial36266,47.9166666666667
0,0,0,Initial36458,46.3333333333333
0,0,0,Initial37745,85.5833333333333
0,0,0,Initial37849,84.75
0,0,0,Initial39824,18.25
0,0,0,Initial39860,18
0,0,0,Initial39899,17.6666666666667
0,0,0,Initial40325,14.0833333333333
0,0,0,Initial40489,12.75
0,0,0,Initial40919,9.16666666666667
0,0,0,Initial40929,9.08333333333333
0,0,0,Initial44006,33.4166666666667
0,0,0,Initial44069,32.9166666666667
0,0,0,Initial44671,27.8333333333333
0,0,0,Initial44937,25.6666666666667
0,0,0,Initial44964,25.4166666666667
0,0,0,Initial44988,25.25
0,0,0,Initial45625,19.9166666666667
0,0,0,Initial46636,11.5
0,0,0,Initial46662,11.25
0,0,0,Initial46710,10.9166666666667
0,0,0,Initial46748,10.5833333333333
0,0,0,Initial47418,5
0,0,0,Initial25656,136.333333333333
0,0,0,Initial32539,130
0,0,0,Initial44975,28.3333333333333
0,0,0,Initial43353,45.8333333333333
0,0,0,Initial50334,8.66666666666667
0,0,0,Initial50351,8.5
0,0,0,Initial50213,10.6666666666667
0,0,0,Initial50280,15.1666666666667
0,0,0,Initial52026,5.58333333333333
0,0,0,Initial52208,4.08333333333333
0,0,0,Initial51779,8.66666666666667
0,0,0,Initial52010,6.75
0,0,0,Initial52203,6.08333333333333
0,0,0,Initial52275,5.5
0,0,0,Initial52454,6
0,0,0,Initial52492,5.66666666666667
0,0,0,Initial52577,5
0,0,0,Initial52713,3.83333333333333
0,0,0,Initial52226,8.91666666666667
0,0,0,Initial52779,5.33333333333333
0,0,0,Initial53008,3.41666666666667
0,0,0,Initial52848,6.75
0,0,0,Initial53732,4.33333333333333
0,0,0,Initial53983,2.25
0,0,0,Initial54196,3.5
0,0,0,Initial54213,3.33333333333333
0,0,0,Initial54284,2.75
0,0,0,Initial53792,8.83333333333333
0,0,0,Initial54141,6.91666666666667
0,0,0,Initial54452,6.33333333333333
0,0,0,Initial54588,5.25
0,0,0,Initial54435,7.5
0,0,0,Initial54734,5
0,0,0,Initial55001,3.75
0,0,0,Initial55086,3.08333333333333
0,0,0,Initial55146,2.58333333333333
0,0,0,Initial54465,9.25
0,0,0,Initial54813,6.33333333333333
0,0,0,Initial54930,5.41666666666667
0,0,0,Initial55142,3.58333333333333
0,0,0,Initial55283,2.41666666666667
0,0,0,Initial55324,5.08333333333333
0,0,0,Initial55435,4.16666666666667
0,0,0,Initial55548,3.25
0,0,0,Initial55633,2.5
0,0,0,Initial55644,2.41666666666667
0,0,0,Initial55669,2.25
0,0,0,Initial55246,8.75
0,0,0,Initial55606,5.75
0,0,0,Initial55855,3.66666666666667
0,0,0,Initial55554,7.16666666666667
0,0,0,Initial55707,5.91666666666667
0,0,0,Initial55793,5.16666666666667
0,0,0,Initial55984,3.58333333333333
0,0,0,Initial54809,14.4166666666667
0,0,0,Initial56023,4.25
0,0,0,Initial56057,4
0,0,0,Initial56139,3.33333333333333
0,0,0,Initial55697,9
0,0,0,Initial55722,8.75
0,0,0,Initial55898,7.33333333333333
0,0,0,Initial56160,5.16666666666667
0,0,0,Initial56262,4.25
0,0,0,Initial56368,3.41666666666667
0,0,0,Initial56349,4.58333333333333
0,0,0,Initial56476,3.5
0,0,0,Initial55988,8.58333333333333
0,0,0,Initial57276,6.83333333333333
0,0,0,Initial57389,5.91666666666667
0,0,0,Initial57233,11.1666666666667
0,0,0,Initial58366,4.75
0,0,0,Initial58374,4.66666666666667
0,0,0,Initial58535,3.33333333333333
0,0,0,Initial58593,2.83333333333333
0,0,0,Initial58346,5.91666666666667
0,0,0,Initial58706,2.91666666666667
0,0,0,Initial58470,5.91666666666667
0,0,0,Initial58770,7.41666666666667
0,0,0,Initial59477,5.5
0,0,0,Initial59754,3.16666666666667
0,0,0,Initial59537,6
0,0,0,Initial59690,4.75
0,0,0,Initial59753,4.16666666666667
0,0,0,Initial58945,11.9166666666667
0,0,0,Initial59970,4.41666666666667
0,0,0,Initial59544,8.91666666666667
0,0,0,Initial59664,7.91666666666667
0,0,0,Initial59710,7.58333333333333
0,0,0,Initial59745,7.25
0,0,0,Initial60258,3
0,0,0,Initial60241,4.08333333333333
0,0,0,Initial60355,3.16666666666667
0,0,0,Initial60569,2.41666666666667
0,0,0,Initial60658,2.66666666666667
0,0,0,Initial60688,5.41666666666667
0,0,0,Initial60987,2.91666666666667
0,0,0,Initial60378,10
0,0,0,Initial61071,4.16666666666667
0,0,0,Initial61261,2.58333333333333
0,0,0,Initial61267,2.58333333333333
0,0,0,Initial61300,4.33333333333333
0,0,0,Initial61324,4.08333333333333
0,0,0,Initial61433,3.16666666666667
0,0,0,Initial60912,8.5
0,0,0,Initial61248,5.75
0,0,0,Initial61327,5.08333333333333
0,0,0,Initial61336,5
0,0,0,Initial61562,3.08333333333333
0,0,0,Initial61613,2.66666666666667
0,0,0,Initial61584,4.91666666666667
0,0,0,Initial61626,4.58333333333333
0,0,0,Initial61852,2.66666666666667
0,0,0,Initial61741,4.58333333333333
0,0,0,Initial61808,5.08333333333333
0,0,0,Initial61822,4.91666666666667
0,0,0,Initial61829,4.91666666666667
0,0,0,Initial61925,4.08333333333333
0,0,0,Initial62031,3.16666666666667
0,0,0,Initial62129,2.41666666666667
0,0,0,Initial62113,3.5
0,0,0,Initial61834,6.83333333333333
0,0,0,Initial61850,8.75
0,0,0,Initial62442,3.75
0,0,0,Initial62487,3.41666666666667
0,0,0,Initial61451,13
0,0,0,Initial62524,4.08333333333333
0,0,0,Initial62634,3.16666666666667
0,0,0,Initial62635,3.16666666666667
0,0,0,Initial62593,5.5
0,0,0,Initial62789,3.91666666666667
0,0,0,Initial62929,2.75
0,0,0,Initial62569,6.75
0,0,0,Initial62571,6.66666666666667
0,0,0,Initial62787,4.91666666666667
0,0,0,Initial63085,2.41666666666667
0,0,0,Initial62747,6.25
0,0,0,Initial63015,4
0,0,0,Initial63075,3.5
0,0,0,Initial62751,7.16666666666667
0,0,0,Initial62870,6.25
0,0,0,Initial63109,4.25
0,0,0,Initial62606,9.41666666666667
0,0,0,Initial63441,3.41666666666667
0,0,0,Initial64009,4.75
0,0,0,Initial64154,3.5
0,0,0,Initial62729,16.4166666666667
0,0,0,Initial63995,5.83333333333333
0,0,0,Initial64155,4.5
0,0,0,Initial64323,3.08333333333333
0,0,0,Initial63634,9.83333333333333
0,0,0,Initial64003,6.75
0,0,0,Initial64268,4.58333333333333
0,0,0,Initial64316,4.16666666666667
