year,no_trees,dbh_mean,root_mean,fgraft,gsx,gsm,no_groups,setup,i
400,390,5.09208015589065,0.649639647010819,67.948717948718,36,8.03030303030303,33,setup_0,0
500,211,11.432768743854,1.15869237255838,82.4644549763033,71,15.8181818181818,11,setup_0,0
600,298,7.85938866650386,0.886614156442757,80.8724832214765,199,24.1,10,setup_0,0
400,164,10.233186145616,1.1107940414913,82.3170731707317,28,6.75,20,setup_1,1
500,126,11.8663095851246,1.20301811748079,73.015873015873,48,9.2,10,setup_1,1
600,146,11.591143372333,1.20003805967524,81.5068493150685,36,6.61111111111111,18,setup_1,1
400,68,21.1442161223381,1.64294601695365,54.4117647058824,4,2.46666666666667,15,setup_10,10
500,71,21.9391333916771,1.71071914161356,61.9718309859155,6,3.14285714285714,14,setup_10,10
600,66,25.5273285817631,1.92740576064989,71.2121212121212,18,4.7,10,setup_10,10
400,27,32.3279926727582,2.00288713130279,14.8148148148148,2,2,2,setup_11,11
500,36,25.9714971320733,1.69671181348867,11.1111111111111,2,2,2,setup_11,11
600,45,26.4350982780333,1.79902557639024,42.2222222222222,6,3.16666666666667,6,setup_11,11
400,71,14.0150105129542,1.0608081385059,38.0281690140845,3,2.07692307692308,13,setup_12,12
500,37,27.7726633618673,1.81057820361829,40.5405405405405,4,2.5,6,setup_12,12
600,35,32.1801660665771,2.06495855841709,68.5714285714286,3,2.18181818181818,11,setup_12,12
400,34,28.4617669868022,1.80089281507179,41.1764705882353,3,2.33333333333333,6,setup_13,13
500,54,17.3946531165474,1.20660957092919,24.0740740740741,3,2.16666666666667,6,setup_13,13
600,41,24.5273700392639,1.60919460115701,31.7073170731707,3,1.85714285714286,7,setup_13,13
400,46,34.4254853077455,2.21141962734113,73.9130434782609,6,3.77777777777778,9,setup_14,14
500,42,27.5243311391428,1.75596144935655,35.7142857142857,3,2.14285714285714,7,setup_14,14
600,122,12.1107604182756,1.01037306266546,59.016393442623,8,2.66666666666667,27,setup_14,14
400,55,24.3293382686337,1.69380888902123,61.8181818181818,10,3.77777777777778,9,setup_15,15
500,88,15.2698698629619,1.12977476532328,43.1818181818182,4,2.53333333333333,15,setup_15,15
600,49,24.9683959441091,1.66903699616345,53.0612244897959,5,2.36363636363636,11,setup_15,15
400,84,15.164324942409,1.12046368418862,44.047619047619,5,2.46666666666667,15,setup_16,16
500,89,16.0174203418979,1.21058297193166,51.685393258427,5,2.70588235294118,17,setup_16,16
600,63,18.3598346185916,1.30581844346377,26.984126984127,4,2.83333333333333,6,setup_16,16
400,133,10.4263091755048,0.85586501861378,30.8270676691729,5,2.5625,16,setup_17,17
500,83,17.9791780253253,1.3789355182821,56.6265060240964,4,2.47368421052632,19,setup_17,17
600,119,12.4226427855134,1.01009277217393,49.5798319327731,4,2.26923076923077,26,setup_17,17
400,123,11.8417915007087,0.988435755448253,21.9512195121951,3,1.8,15,setup_18,18
500,84,17.5160824625342,1.33418581522087,28.5714285714286,3,1.71428571428571,14,setup_18,18
600,189,7.69961221834442,0.69540834844442,17.4603174603175,3,1.65,20,setup_18,18
400,165,12.3875371741104,1.14033370770765,36.969696969697,4,1.96774193548387,31,setup_19,19
500,158,13.2431675101599,1.19647277905638,42.4050632911392,4,2.09375,32,setup_19,19
600,187,11.1942470800304,1.05316225304535,36.3636363636364,3,1.83783783783784,37,setup_19,19
400,57,18.0957695197323,1.42960995559455,42.1052631578947,6,2.66666666666667,9,setup_2,2
500,51,22.6892674021262,1.66066466560003,52.9411764705882,5,3,9,setup_2,2
600,58,20.5669257643764,1.54142356013195,53.448275862069,6,3.1,10,setup_2,2
400,178,11.5458797154234,1.09355484121287,38.2022471910112,4,1.88888888888889,36,setup_20,20
500,205,9.85102006105774,0.965028881790656,30.2439024390244,4,1.9375,32,setup_20,20
600,160,11.1302092220963,1.0415111739305,26.875,4,1.72,25,setup_20,20
400,152,12.8566014613649,1.17403424544666,35.5263157894737,4,1.92857142857143,28,setup_21,21
500,196,11.264959430133,1.07907737675026,32.1428571428572,4,1.75,36,setup_21,21
600,194,9.836608788136,0.956937499071303,31.9587628865979,3,2,31,setup_21,21
400,198,10.5315525614626,1.02246163675915,79.2929292929293,26,5.60714285714286,28,setup_22,22
500,176,12.3167238752656,1.15138549006877,84.0909090909091,26,6.72727272727273,22,setup_22,22
600,171,11.6629181635719,1.09088848292396,71.3450292397661,18,5.30434782608696,23,setup_22,22
400,141,13.7467063646433,1.26021853351855,79.4326241134752,19,5.89473684210526,19,setup_23,23
500,136,13.1530860531186,1.18911526533091,66.9117647058824,16,4.78947368421053,19,setup_23,23
600,121,16.2930835761856,1.40287294574467,76.0330578512397,21,5.41176470588235,17,setup_23,23
400,541,6.37112371380931,0.809923152635591,78.9279112754159,294,23.7222222222222,18,setup_24,24
500,552,7.05770691451296,0.891554469711338,88.2246376811594,467,48.7,10,setup_24,24
600,464,8.84211652495345,1.06026692164687,90.5172413793104,366,38.1818181818182,11,setup_24,24
400,240,16.5694761108705,1.65371033062448,98.3333333333333,236,236,1,setup_25,25
500,457,9.15697290431805,1.05744359216521,91.4660831509847,408,83.6,5,setup_25,25
600,361,10.6069206639465,1.15765105356829,86.9806094182826,178,19.625,16,setup_25,25
400,427,11.1185824196761,1.25267744675466,96.2529274004684,411,411,1,setup_26,26
500,414,11.3382618563277,1.28045050636282,99.2753623188406,411,411,1,setup_26,26
600,458,8.12203353424486,0.965355777743759,88.4279475982533,394,57.8571428571429,7,setup_26,26
400,454,8.41557938253413,1.01617385108865,86.784140969163,387,78.8,5,setup_27,27
500,483,7.58139504159085,0.944471627754086,85.7142857142857,401,46,9,setup_27,27
600,438,8.6780078602683,1.03872146007172,88.5844748858447,381,64.6666666666667,6,setup_27,27
400,857,5.53678116122416,0.78529240193195,89.7316219369895,743,69.9090909090909,11,setup_28,28
500,513,7.67195194803366,0.960140412168717,88.8888888888889,452,152,3,setup_28,28
600,626,7.44003442634014,0.964981869738786,96.964856230032,607,607,1,setup_28,28
400,1211,2.30559057150112,0.433673539239856,47.8117258464079,40,5.21621621621622,111,setup_29,29
500,1120,3.46082695559651,0.568053753635339,74.2857142857143,752,26.8387096774194,31,setup_29,29
600,1211,2.95470922419764,0.518166784414599,83.2369942196532,941,36,28,setup_29,29
400,66,15.0026196291615,1.20893120818002,33.3333333333333,3,2.2,10,setup_3,3
500,51,21.595642962488,1.61917520272925,50.9803921568627,6,2.88888888888889,9,setup_3,3
600,70,19.0195331636963,1.46658205729177,62.8571428571429,9,3.38461538461538,13,setup_3,3
400,169,9.13831688141455,0.858984123917764,56.8047337278107,13,3.2,30,setup_30,30
500,190,8.79239963346354,0.850844376484854,51.0526315789474,9,2.93939393939394,33,setup_30,30
600,157,11.8258133275474,1.06375487144654,59.8726114649682,9,2.84848484848485,33,setup_30,30
400,111,13.1354645969772,1.15561891662615,61.2612612612613,6,2.95652173913043,23,setup_31,31
500,114,13.5254014372715,1.16876508209743,53.5087719298246,6,2.77272727272727,22,setup_31,31
600,144,9.80883518430738,0.929571366147129,39.5833333333333,5,2.28,25,setup_31,31
400,183,9.0739662095167,0.837104319678083,59.016393442623,9,3.27272727272727,33,setup_32,32
500,118,13.4784779845322,1.06858380564761,46.6101694915254,12,3.23529411764706,17,setup_32,32
600,112,12.9080166546838,1.05305186603283,46.4285714285714,5,3.25,16,setup_32,32
400,97,15.7484036577623,1.27848571990207,54.639175257732,5,2.78947368421053,19,setup_33,33
500,78,20.5778191640001,1.55833045987194,71.7948717948718,8,3.73333333333333,15,setup_33,33
600,147,10.4069480084588,0.915210921495736,46.9387755102041,7,2.76,25,setup_33,33
400,147,10.668522118444,0.950518086529626,27.891156462585,3,1.70833333333333,24,setup_34,34
500,147,9.91638262703392,0.88130779304176,31.2925170068027,4,1.84,25,setup_34,34
600,152,11.4454946134669,1.01309190632509,37.5,5,1.78125,32,setup_34,34
400,144,11.4250051629281,0.992847151503856,41.6666666666667,4,2.06896551724138,29,setup_35,35
500,97,15.1853455606002,1.23653064671265,35.0515463917526,3,2.125,16,setup_35,35
600,143,11.2197960834743,0.991285705012328,36.3636363636364,4,2.16666666666667,24,setup_35,35
400,171,8.88241495663337,0.807713241279382,22.8070175438597,3,1.625,24,setup_36,36
500,193,8.55985295672353,0.806493635707657,34.7150259067358,3,1.81081081081081,37,setup_36,36
600,158,10.4602650030052,0.9273643562381,33.5443037974684,4,1.89285714285714,28,setup_36,36
400,118,11.9990540407489,1.02497331639145,29.6610169491525,4,2.05882352941176,17,setup_37,37
500,82,15.3411411413859,1.21877968663573,31.7073170731707,3,1.625,16,setup_37,37
600,94,14.238512042112,1.16272804036079,35.1063829787234,3,1.73684210526316,19,setup_37,37
400,217,8.84624893279373,0.962468544366464,49.7695852534562,6,2.34782608695652,46,setup_38,38
500,253,9.47912930883622,1.02327882850077,71.1462450592885,7,2.8125,64,setup_38,38
600,238,9.55429169316029,1.02969114444356,63.8655462184874,8,2.62068965517241,58,setup_38,38
400,194,9.93423898716756,1.04054237726911,55.1546391752577,7,2.37777777777778,45,setup_39,39
500,242,9.73408977407515,1.05078549585249,64.8760330578512,5,2.37878787878788,66,setup_39,39
600,247,8.39426310234582,0.936301461780328,59.919028340081,8,2.55172413793103,58,setup_39,39
400,76,13.3178215142211,1.13228671257355,47.3684210526316,4,2.25,16,setup_4,4
500,55,19.6795136975363,1.49190967439212,61.8181818181818,4,2.61538461538462,13,setup_4,4
600,56,19.9670535510436,1.52335533421899,42.8571428571429,6,2.66666666666667,9,setup_4,4
400,63,17.2145596204988,1.30938737753475,55.5555555555556,7,3.5,10,setup_40,40
500,49,21.2041277344498,1.54743019987553,44.8979591836735,4,2.75,8,setup_40,40
600,54,21.2716272229477,1.57218354197236,48.1481481481482,11,3.71428571428571,7,setup_40,40
400,50,19.9813166888629,1.46608037050091,42,4,2.33333333333333,9,setup_41,41
