plant	time	x	y	r_stem	h_stem	r_crown	r_root	ag_factor	bg_factor	age	weight_girthgrowth	weight_rootgrowth	partner	potential_partner	groupID	node_degree	water_available	water_absorbed	water_exchanged	psi_osmo	weight_gr	r_gr_rgf
Initial_000066983	12623040000.0	25.87955770397876	15.2252723224942	0.10191959289581536	4.8168442137196985	2.041217034976522	1.8144828649700888	0.9423076923076923	0.5495007184194652	2837554200.0	0.8341064402003043	0.10228834760241379	['Initial70020', 'Initial79890', 'Initial79444', 'Initial83564']	[]	gID_36	4	0.58869823864385	0.5886844402764814	1.3798367368126261e-05	-3501665.00448554	0	0.004
Initial_000069940	12623040000.0	14.636127910842838	15.626247834463094	0.07412925070233628	4.50818367511417	1.929977061603733	1.377223545579509	0.7872340425531915	0.5501443343706819	2406267000.0	0.8258046652763993	0.10419290848649698	['Initial73763', 'Initial81242']	[]	gID_1	2	0.33963940012177324	0.3396372364602092	2.163661563664974e-06	-3498969.6531996843	0	0.004
Initial_000070020	12623040000.0	27.007535367394322	16.933549995089756	0.10578184756153891	4.301708405743574	2.171443122308582	1.9035855307681095	0.6785714285714286	0.5496329135607315	2393118000.0	0.5079407547833259	0.05941658699483243	['Initial66983', 'Initial80284', 'Initial82197', 'Initial80232', 'Initial80006']	[]	gID_36	5	0.6488721547058117	0.6488239994281124	4.815527769935905e-05	-3501935.410945263	0	0.004
Initial_000070244	12623040000.0	21.253988575663243	18.182703250882316	0.09957538773815393	4.429828466429676	2.2302415969326606	1.7760882494717436	1.0	0.5496316891825731	2361560400.0	0.8318680785577625	0.1013038647456489	['Initial75286']	[]	gID_36	1	0.564156082289434	0.5641744237387103	-1.834144927551752e-05	-3500556.1316658393	0	0.004
Initial_000070316	12623040000.0	5.91837359922136	16.58765465746698	0.11110982283622407	4.408392688304764	2.115972599742352	1.990957620078908	0.9814814814814815	0.5502862959607874	2351041200.0	0.8351965986428258	0.10264754664730591	['Initial73602', 'Initial73719', 'Initial80919']	[]	gID_4	3	0.7100769421478399	0.7100073609297252	6.958121811434051e-05	-3496879.7739790254	0	0.004
Initial_000070863	12623040000.0	23.46622618137108	24.21946739959552	0.09887527791215436	4.280922892467351	2.265934984273233	1.7704628390917732	1.0	0.5495838225458298	2269517400.0	0.8304735115813245	0.1021419912554219	['Initial79870', 'Initial78421', 'Initial78573']	[]	gID_36	3	0.5606436449840344	0.5607060299584137	-6.238497437881225e-05	-3501086.4642765173	0	0.004
Initial_000071102	12623040000.0	15.509483014548206	10.881609768135744	0.10924616763140846	4.290451476881104	2.3141490032719148	1.935763353797266	1.0	0.5498868759058403	2235330000.0	0.835537178275076	0.09908258715717777	['Initial73744', 'Initial75609', 'Initial78166']	[]	gID_6	3	0.670339958776922	0.6701536314544689	0.00018632732245326848	-3499179.0198115716	0	0.004
Initial_000071138	12623040000.0	11.221756486095549	12.155012607298323	0.09159050989925199	4.264925962289466	2.0833007962595564	1.6765206510251485	0.9818181818181818	0.5502128016884139	2230070400.0	0.8266588226584168	0.10681019462441199	['Initial82466']	[]	gID_1	1	0.5036486540384456	0.5036465467636265	2.1072748188640537e-06	-3498151.1369124474	0	0.004
Initial_000071597	12623040000.0	19.52984812197119	28.740614975489322	0.10589052578581835	4.327309514551206	2.302147758540556	1.8786629368957601	1.0	0.5496782184276591	2161695600.0	0.8342054007456123	0.09968478875078435	['Initial77520', 'Initial81967']	[]	gID_20	2	0.6311591784196496	0.6311444051207696	1.4773298879679405e-05	-3500142.80901658	0	0.004
Initial_000073226	12623040000.0	0.5268573160492107	3.9674529570814254	0.12493659281277571	4.034381150361596	2.267025450904478	2.229850934985804	1.0	0.5504943354362972	1925013600.0	0.8402984957025832	0.09642173472446613	['Initial77824', 'Initial80720', 'Initial82733']	[]	gID_9	3	0.8905686288158665	0.8904795694144906	8.905940137620512e-05	-3495587.283109786	0	0.004
Initial_000073390	12623040000.0	0.2031195653617024	25.849935228221973	0.10245606749102737	4.028786190754482	2.3171100187788967	1.843278114416756	1.0	0.5504197759271932	1901345400.0	0.830139640345518	0.10299928048626938	[]	[]	gID_10	0	0.6088070919038092	0.6088070919038092	0.0	-3495509.674499367	0	0.004
Initial_000073602	12623040000.0	6.836571130203664	14.565086477359495	0.08212550391308915	3.971992700854174	2.142012832127943	1.531616155506897	0.43103448275862066	0.5503342190688768	1869787800.0	0.18293680539755078	0.019421698161527806	['Initial70316', 'Initial73719', 'Initial83084']	[]	gID_4	3	0.4207859649502477	0.420958589367798	-0.00017262441755066884	-3497099.8905218723	0	0.004
